transaction_id,sender_account,receiver_account,amount,transaction_type,city,timestamp
898083,ACC3113,ACC5128,6908.66,IMPS,Mumbai,2025-02-26 22:40:26.113996
382438,ACC9460,ACC9038,30840.55,IMPS,Hyderabad,2025-10-16 22:40:26.114066
666151,ACC8785,ACC5677,25163.18,NEFT,Mumbai,2026-02-02 22:40:26.114090
517583,ACC9511,ACC1863,8508.83,NEFT,Pune,2025-03-14 22:40:26.114107
133056,ACC2940,ACC6363,45052.49,UPI,Delhi,2025-11-19 22:40:26.114123
160841,ACC7312,ACC1807,31989.75,IMPS,Pune,2025-09-03 22:40:26.114140
269567,ACC2053,ACC3364,11224.4,IMPS,Delhi,2025-12-10 22:40:26.114155
712014,ACC5749,ACC8903,9822.59,NEFT,Pune,2025-12-31 22:40:26.114170
525773,ACC8979,ACC6626,20360.92,UPI,Mumbai,2025-08-10 22:40:26.114185
886657,ACC3630,ACC3981,46725.94,RTGS,Delhi,2025-09-24 22:40:26.114201
277350,ACC1632,ACC3435,4355.43,IMPS,Delhi,2025-06-29 22:40:26.114216
131758,ACC7567,ACC8578,11931.94,UPI,Delhi,2025-12-04 22:40:26.114232
455715,ACC6089,ACC3670,9975.22,RTGS,Bangalore,2026-01-19 22:40:26.114248
270099,ACC2795,ACC4663,39322.43,UPI,Bangalore,2025-03-29 22:40:26.114263
223559,ACC8640,ACC5403,23617.4,UPI,Hyderabad,2025-04-03 22:40:26.114278
341523,ACC6548,ACC8958,16948.92,NEFT,Mumbai,2025-06-28 22:40:26.114293
471525,ACC1238,ACC6127,40724.31,RTGS,Pune,2025-11-22 22:40:26.114308
998751,ACC7267,ACC5444,4071.39,NEFT,Pune,2025-12-10 22:40:26.114323
279377,ACC2464,ACC9894,23616.99,RTGS,Bangalore,2025-05-05 22:40:26.114338
279905,ACC6417,ACC9943,47434.35,IMPS,Hyderabad,2025-09-12 22:40:26.114353
263800,ACC4450,ACC9133,42546.05,NEFT,Hyderabad,2025-11-20 22:40:26.114367
921404,ACC7108,ACC7073,3688.76,NEFT,Mumbai,2025-09-14 22:40:26.114382
212292,ACC5105,ACC5368,31426.71,IMPS,Bangalore,2026-01-28 22:40:26.114397
747887,ACC6742,ACC5061,9997.59,UPI,Hyderabad,2025-06-11 22:40:26.114413
367338,ACC7489,ACC4846,38388.27,RTGS,Mumbai,2026-02-17 22:40:26.114428
489662,ACC5081,ACC6673,38668.41,NEFT,Mumbai,2025-12-31 22:40:26.114443
259888,ACC9877,ACC2124,34172.25,RTGS,Pune,2025-04-09 22:40:26.114458
155548,ACC1364,ACC2323,16166.33,IMPS,Bangalore,2025-05-23 22:40:26.114473
984965,ACC5043,ACC9654,29751.77,NEFT,Pune,2025-07-14 22:40:26.114488
140985,ACC4677,ACC5472,31576.7,IMPS,Bangalore,2025-09-28 22:40:26.114502
536436,ACC1891,ACC9656,9767.75,RTGS,Bangalore,2025-07-09 22:40:26.114517
537189,ACC6944,ACC7560,48092.96,RTGS,Pune,2025-09-01 22:40:26.114531
158685,ACC4982,ACC4049,2304.35,IMPS,Pune,2025-12-12 22:40:26.114546
258126,ACC1632,ACC5832,32189.83,NEFT,Hyderabad,2025-11-30 22:40:26.114560
276069,ACC9618,ACC5386,30827.36,NEFT,Bangalore,2025-10-02 22:40:26.114577
145256,ACC1887,ACC4718,13990.93,IMPS,Pune,2025-10-26 22:40:26.114592
447101,ACC4206,ACC1305,13813.55,IMPS,Pune,2025-05-21 22:40:26.114606
135385,ACC4985,ACC3983,43935.61,IMPS,Pune,2025-11-11 22:40:26.114622
440495,ACC9571,ACC5737,41530.99,RTGS,Bangalore,2025-05-03 22:40:26.114636
728990,ACC5496,ACC8538,14061.95,RTGS,Pune,2025-10-15 22:40:26.114651
545400,ACC3628,ACC8640,48026.68,UPI,Bangalore,2025-08-30 22:40:26.114668
459068,ACC1700,ACC2063,47618.18,IMPS,Hyderabad,2025-05-24 22:40:26.114683
167367,ACC2568,ACC3334,33297.67,NEFT,Pune,2025-12-11 22:40:26.114698
921463,ACC3285,ACC7550,14442.06,RTGS,Bangalore,2026-02-16 22:40:26.114713
599340,ACC4818,ACC4164,103.01,IMPS,Mumbai,2025-07-03 22:40:26.114728
307861,ACC5300,ACC2594,35980.55,NEFT,Pune,2025-09-03 22:40:26.114743
165068,ACC7425,ACC4203,15536.77,IMPS,Hyderabad,2025-02-28 22:40:26.114758
597172,ACC4523,ACC5031,11884.4,UPI,Delhi,2025-05-18 22:40:26.114772
408135,ACC5141,ACC7882,48612.85,RTGS,Pune,2025-07-19 22:40:26.114787
805266,ACC3205,ACC9993,45483.83,RTGS,Hyderabad,2025-10-02 22:40:26.114802
