transaction_id,sender_account,receiver_account,amount,transaction_type,city,timestamp
636275,ACC4276,ACC8158,3960.11,IMPS,Delhi,2025-03-20 22:40:26.007656
917884,ACC9806,ACC4600,41423.38,UPI,Mumbai,2025-08-22 22:40:26.007747
985836,ACC5737,ACC8449,15609.34,UPI,Delhi,2025-08-23 22:40:26.007784
256342,ACC7014,ACC9032,38791.74,RTGS,Hyderabad,2025-10-30 22:40:26.007823
535079,ACC5905,ACC8101,21985.71,IMPS,Mumbai,2025-11-10 22:40:26.007856
461098,ACC1125,ACC2311,19078.2,RTGS,Delhi,2025-07-20 22:40:26.007886
175949,ACC5746,ACC3358,44030.82,NEFT,Bangalore,2025-03-15 22:40:26.007903
791396,ACC7884,ACC5246,44935.2,RTGS,Bangalore,2025-11-08 22:40:26.007919
446758,ACC4712,ACC4528,31240.24,IMPS,Pune,2025-05-27 22:40:26.007935
891107,ACC1402,ACC5413,27801.04,UPI,Bangalore,2025-05-09 22:40:26.007950
102509,ACC4438,ACC9038,37230.33,UPI,Mumbai,2026-01-06 22:40:26.007965
106053,ACC1315,ACC1267,2491.77,IMPS,Pune,2025-07-22 22:40:26.007983
993919,ACC3741,ACC9526,6089.19,IMPS,Bangalore,2025-12-21 22:40:26.007998
218921,ACC2813,ACC9338,46237.42,RTGS,Mumbai,2025-04-11 22:40:26.008013
397772,ACC5027,ACC2578,35736.92,IMPS,Delhi,2025-10-02 22:40:26.008028
117589,ACC6109,ACC7988,29968.86,RTGS,Hyderabad,2025-10-30 22:40:26.008043
558708,ACC2988,ACC1325,41369.21,RTGS,Mumbai,2026-01-09 22:40:26.008097
505100,ACC4861,ACC5900,7901.88,IMPS,Mumbai,2025-12-11 22:40:26.008125
431585,ACC6962,ACC6712,16468.62,UPI,Bangalore,2025-10-11 22:40:26.008142
263197,ACC5102,ACC6610,23666.79,NEFT,Bangalore,2025-08-18 22:40:26.008157
282039,ACC9126,ACC3501,619.0,RTGS,Hyderabad,2025-06-15 22:40:26.008172
159768,ACC3880,ACC1756,13524.18,IMPS,Delhi,2025-06-04 22:40:26.008198
513884,ACC8225,ACC2471,46378.29,IMPS,Pune,2025-08-01 22:40:26.008225
127225,ACC3087,ACC3572,47554.33,NEFT,Bangalore,2026-02-03 22:40:26.008250
704593,ACC4129,ACC4455,14027.47,UPI,Delhi,2025-10-27 22:40:26.008275
444464,ACC5521,ACC7094,8182.8,IMPS,Delhi,2025-12-28 22:40:26.008299
624914,ACC5980,ACC2218,21210.38,RTGS,Mumbai,2025-08-07 22:40:26.008321
984806,ACC5093,ACC3906,460.36,UPI,Mumbai,2026-01-07 22:40:26.008344
497812,ACC9854,ACC8928,42868.73,IMPS,Delhi,2025-06-04 22:40:26.008370
728312,ACC4541,ACC7117,21410.45,UPI,Pune,2025-04-14 22:40:26.008385
495088,ACC6126,ACC1620,34630.56,IMPS,Hyderabad,2025-07-30 22:40:26.008399
731651,ACC8302,ACC4747,1070.41,RTGS,Pune,2025-12-22 22:40:26.008414
962261,ACC5424,ACC5947,24379.21,RTGS,Delhi,2025-11-08 22:40:26.008434
681001,ACC9617,ACC5831,18523.88,IMPS,Mumbai,2025-11-15 22:40:26.008479
615067,ACC1613,ACC3503,15090.55,NEFT,Delhi,2025-03-20 22:40:26.008520
185414,ACC8386,ACC3347,33850.23,RTGS,Mumbai,2025-07-07 22:40:26.008548
769416,ACC2008,ACC5475,717.72,IMPS,Hyderabad,2025-11-15 22:40:26.008571
419864,ACC4657,ACC8421,18143.23,IMPS,Mumbai,2025-06-20 22:40:26.008609
516788,ACC7480,ACC3263,13936.35,RTGS,Mumbai,2025-08-11 22:40:26.008636
760465,ACC5136,ACC1749,8655.88,NEFT,Delhi,2025-02-28 22:40:26.008661
180284,ACC6982,ACC5906,325.55,NEFT,Hyderabad,2025-05-31 22:40:26.008686
243745,ACC9708,ACC2787,670.04,IMPS,Hyderabad,2025-11-03 22:40:26.008704
100847,ACC4111,ACC8458,37706.18,NEFT,Mumbai,2026-01-30 22:40:26.008727
225367,ACC2838,ACC6088,2025.05,UPI,Delhi,2025-09-17 22:40:26.008752
827430,ACC9046,ACC4494,19909.85,UPI,Hyderabad,2025-04-14 22:40:26.008780
614603,ACC8318,ACC9600,44077.83,IMPS,Bangalore,2025-03-02 22:40:26.008807
544617,ACC9227,ACC6687,1406.56,IMPS,Hyderabad,2025-05-14 22:40:26.008833
317866,ACC2332,ACC8379,40578.56,RTGS,Hyderabad,2025-12-03 22:40:26.008859
884380,ACC3129,ACC4431,14818.11,RTGS,Hyderabad,2025-12-11 22:40:26.008885
928606,ACC6966,ACC8394,25965.34,RTGS,Bangalore,2025-10-18 22:40:26.008914
